student_no,programme,gpa,quiz_score,assignment_score,attendance,engagement_score,semester,course_name,financial_status
KGL1022,Engineering,2.01,44,53,55.2,40.2,Semester 1,Introduction to Programming,Stable
KGL1023,Engineering,2.87,69,73,73.1,75.3,Semester 2,Data Structures,Stable
KGL1024,Engineering,3.0,74,80,79.3,72.1,Semester 1,Database Systems,Stable
KGL1025,Engineering,2.92,73,72,71.1,72.5,Semester 2,Web Development,Stable
KGL1026,Engineering,2.37,69,55,56.9,56.4,Semester 1,Mathematics & Statistics,Stable
KGL1027,Engineering,2.81,67,75,73.9,72.5,Semester 2,Machine Learning,Scholarship
KGL1028,Engineering,2.73,70,65,67.5,73.3,Semester 1,Introduction to Programming,Scholarship
KGL1029,Engineering,2.76,62,75,79.1,71.5,Semester 2,Web Development,Under Review
KGL1030,Engineering,2.89,69,74,72.8,80.6,Semester 1,Mathematics & Statistics,Stable
KGL1031,Engineering,2.52,63,61,57.4,67.6,Semester 2,Data Structures,Scholarship
KGL1032,Engineering,2.57,56,65,66.8,70.0,Semester 1,Database Systems,Under Review
KGL1033,Engineering,1.6,40,38,44.6,44.4,Semester 2,Machine Learning,Stable
KGL1034,Engineering,3.55,97,82,89.5,97.1,Semester 1,Mathematics & Statistics,Stable
KGL1035,Engineering,3.21,81,79,78.7,77.4,Semester 2,Web Development,Stable
KGL1036,Engineering,3.17,74,83,77.2,78.9,Semester 1,Introduction to Programming,Under Review
KGL1037,Engineering,2.31,50,59,51.5,69.6,Semester 2,Web Development,Stable
KGL1038,Engineering,3.37,75,88,86.1,91.9,Semester 1,Database Systems,Scholarship
KGL1039,Engineering,2.27,57,57,56.3,54.7,Semester 2,Machine Learning,Stable
KGL1040,Engineering,2.27,55,54,64.0,78.4,Semester 1,Database Systems,Stable
KGL1041,Engineering,2.65,58,68,65.4,72.2,Semester 2,Web Development,Stable
KGL1042,Engineering,2.35,53,65,68.4,69.9,Semester 1,Introduction to Programming,Stable
KGL1043,Engineering,2.53,59,66,66.6,67.7,Semester 2,Machine Learning,Stable
KGL1044,Engineering,2.13,50,54,47.7,58.1,Semester 1,Database Systems,Stable
KGL1045,Engineering,2.35,65,57,57.3,57.3,Semester 2,Data Structures,Stable
KGL1046,Engineering,2.43,55,62,60.3,61.9,Semester 1,Introduction to Programming,Stable
KGL1047,Engineering,2.84,66,76,73.8,78.5,Semester 2,Data Structures,Stable
KGL1048,Engineering,2.76,57,76,66.6,79.6,Semester 1,Introduction to Programming,Stable
KGL1049,Engineering,3.31,82,82,85.5,79.1,Semester 2,Machine Learning,Stable
KGL1050,Engineering,2.08,53,48,53.5,53.6,Semester 1,Mathematics & Statistics,Stable
KGL1051,Engineering,2.85,77,68,65.7,75.1,Semester 2,Web Development,Stable
KGL1052,Engineering,1.85,53,42,47.5,46.8,Semester 1,Introduction to Programming,Stable
KGL1053,Engineering,3.21,88,75,75.3,77.4,Semester 2,Machine Learning,Stable
KGL1054,Engineering,3.23,71,87,77.2,86.9,Semester 1,Database Systems,Stable
KGL1055,Engineering,1.56,33,43,42.1,38.4,Semester 2,Web Development,Stable
KGL1056,Engineering,3.37,82,86,80.2,86.8,Semester 1,Database Systems,Stable
KGL1057,Engineering,2.08,52,49,53.0,63.7,Semester 2,Data Structures,Stable
KGL1058,Engineering,2.33,58,58,63.1,58.7,Semester 1,Mathematics & Statistics,Stable
KGL1059,Engineering,0.36,0,10,40.0,30.0,Semester 2,Web Development,Stable
KGL1060,Engineering,3.0,79,72,73.5,73.5,Semester 1,Mathematics & Statistics,Scholarship
KGL1061,Engineering,1.49,39,34,40.0,36.7,Semester 2,Web Development,Stable
KGL1062,Engineering,2.37,62,55,64.7,62.5,Semester 1,Introduction to Programming,Stable
KGL1063,Engineering,2.93,69,71,72.3,81.9,Semester 2,Data Structures,Stable
KGL1064,Engineering,2.35,59,59,57.7,62.2,Semester 1,Introduction to Programming,Stable
KGL1065,Engineering,2.56,67,61,67.0,66.7,Semester 2,Machine Learning,Stable
KGL1066,Engineering,1.59,45,37,42.7,30.6,Semester 1,Mathematics & Statistics,Under Review
KGL1067,Engineering,2.75,60,74,68.4,71.3,Semester 2,Machine Learning,Scholarship
KGL1068,Engineering,2.33,61,56,56.1,56.1,Semester 1,Mathematics & Statistics,Stable
KGL1069,Engineering,2.13,39,57,47.3,63.9,Semester 2,Web Development,Stable
KGL1070,Engineering,2.59,58,73,57.2,65.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1071,Engineering,2.41,63,63,52.8,56.5,Semester 2,Machine Learning,Stable
KGL1072,Engineering,1.87,41,48,59.1,62.1,Semester 1,Introduction to Programming,Stable
KGL1073,Engineering,2.32,61,56,58.5,60.6,Semester 2,Data Structures,Scholarship
KGL1074,Engineering,1.85,49,41,40.0,51.9,Semester 1,Introduction to Programming,Stable
KGL1075,Engineering,1.64,44,38,40.0,37.1,Semester 2,Machine Learning,Stable
KGL1076,Engineering,1.04,30,22,40.0,30.0,Semester 1,Database Systems,Stable
KGL1077,Engineering,3.19,80,81,89.0,78.2,Semester 2,Data Structures,Scholarship
KGL1078,Engineering,2.76,61,72,61.7,76.4,Semester 1,Mathematics & Statistics,Stable
KGL1079,Engineering,2.64,62,68,64.1,66.5,Semester 2,Machine Learning,Scholarship
KGL1080,Engineering,1.95,47,50,44.4,48.9,Semester 1,Introduction to Programming,Stable
KGL1081,Engineering,1.85,49,45,51.1,37.8,Semester 2,Data Structures,Stable
KGL1082,Engineering,2.01,50,54,47.7,41.8,Semester 1,Mathematics & Statistics,Stable
KGL1083,Engineering,2.65,72,63,63.6,65.1,Semester 2,Data Structures,Stable
KGL1084,Engineering,1.53,42,34,40.0,39.1,Semester 1,Mathematics & Statistics,Stable
KGL1085,Engineering,3.13,73,82,81.7,84.8,Semester 2,Machine Learning,Scholarship
KGL1086,Engineering,3.29,76,88,85.6,79.2,Semester 1,Mathematics & Statistics,Scholarship
KGL1087,Engineering,2.88,71,74,70.8,71.5,Semester 2,Data Structures,Stable
KGL1088,Engineering,2.6,58,67,56.1,68.1,Semester 1,Database Systems,Stable
KGL1089,Engineering,3.21,73,82,82.1,81.2,Semester 2,Machine Learning,Stable
KGL1090,Engineering,2.81,65,74,68.9,74.0,Semester 1,Database Systems,Stable
KGL1091,Engineering,1.29,27,36,40.0,35.4,Semester 2,Web Development,Stable
KGL1092,Engineering,2.95,71,71,81.3,79.3,Semester 1,Introduction to Programming,Scholarship
KGL1093,Engineering,1.84,43,50,46.5,41.5,Semester 2,Web Development,Stable
KGL1094,Engineering,3.43,79,92,81.5,78.5,Semester 1,Introduction to Programming,Stable
KGL1095,Engineering,3.21,78,82,90.3,83.1,Semester 2,Data Structures,Stable
KGL1096,Engineering,2.57,65,62,65.2,66.2,Semester 1,Database Systems,Stable
KGL1097,Engineering,2.73,63,70,69.7,74.2,Semester 2,Machine Learning,Stable
KGL1098,Engineering,2.49,58,62,56.8,62.7,Semester 1,Introduction to Programming,Stable
KGL1099,Engineering,2.59,65,62,62.6,62.2,Semester 2,Machine Learning,Stable
KGL1100,Engineering,2.84,79,67,73.3,65.4,Semester 1,Introduction to Programming,Stable
KGL1101,Engineering,2.88,68,74,75.4,66.9,Semester 2,Machine Learning,Stable
KGL1102,Engineering,3.53,85,89,88.0,93.4,Semester 1,Database Systems,Scholarship
KGL1103,Engineering,2.01,60,47,55.5,41.6,Semester 2,Data Structures,Under Review
KGL1104,Engineering,3.65,98,90,96.2,88.6,Semester 1,Introduction to Programming,Under Review
KGL1105,Engineering,2.63,58,72,62.7,65.5,Semester 2,Machine Learning,Stable
KGL1106,Engineering,3.83,87,100,97.9,100.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1107,Engineering,2.57,66,64,64.4,53.1,Semester 2,Web Development,Stable
KGL1108,Engineering,2.64,52,70,67.7,75.4,Semester 1,Introduction to Programming,Stable
KGL1109,Engineering,2.75,70,72,73.7,68.1,Semester 2,Web Development,Stable
KGL1110,Engineering,3.52,77,98,88.2,84.7,Semester 1,Introduction to Programming,Stable
KGL1111,Engineering,2.21,62,49,54.8,60.6,Semester 2,Data Structures,Stable
KGL1112,Engineering,2.05,54,47,51.0,53.7,Semester 1,Database Systems,Scholarship
KGL1113,Engineering,2.17,51,54,54.0,61.9,Semester 2,Data Structures,Scholarship
KGL1114,Engineering,3.99,99,100,97.6,100.0,Semester 1,Introduction to Programming,Under Review
KGL1115,Engineering,3.13,84,74,84.8,73.5,Semester 2,Machine Learning,Stable
KGL1116,Engineering,3.23,75,82,76.3,76.6,Semester 1,Database Systems,Stable
KGL1117,Engineering,3.19,78,79,66.0,81.5,Semester 2,Web Development,Stable
KGL1118,Engineering,2.33,51,61,54.6,55.6,Semester 1,Mathematics & Statistics,Stable
KGL1119,Engineering,2.52,55,65,59.3,64.0,Semester 2,Web Development,Stable
KGL1120,Engineering,3.47,79,89,85.9,93.9,Semester 1,Introduction to Programming,Stable
KGL1121,Engineering,3.63,91,92,95.6,89.8,Semester 2,Data Structures,Scholarship
KGL1122,Engineering,3.65,88,93,97.7,95.9,Semester 1,Introduction to Programming,Stable
KGL1123,Engineering,2.35,63,56,63.2,62.4,Semester 2,Data Structures,Stable
KGL1124,Engineering,3.15,83,73,80.3,73.8,Semester 1,Introduction to Programming,Stable
KGL1125,Engineering,3.57,87,86,92.3,94.0,Semester 2,Data Structures,Scholarship
KGL1126,Engineering,2.76,72,67,64.6,63.6,Semester 1,Mathematics & Statistics,Stable
KGL1127,Engineering,2.88,65,74,67.7,76.6,Semester 2,Web Development,Stable
KGL1128,Engineering,3.17,82,74,68.1,88.4,Semester 1,Database Systems,Stable
KGL1129,Engineering,2.01,51,51,48.4,47.2,Semester 2,Machine Learning,Stable
KGL1130,Engineering,3.4,89,82,90.6,84.0,Semester 1,Database Systems,Under Review
KGL1131,Engineering,1.73,53,40,48.8,39.3,Semester 2,Machine Learning,Stable
KGL1132,Engineering,3.08,87,70,79.9,71.6,Semester 1,Introduction to Programming,Stable
KGL1133,Engineering,3.2,75,84,84.3,81.8,Semester 2,Machine Learning,Scholarship
KGL1134,Engineering,3.04,74,75,72.1,78.5,Semester 1,Mathematics & Statistics,Stable
KGL1135,Engineering,2.15,58,48,52.6,57.5,Semester 2,Data Structures,Stable
KGL1136,Engineering,1.95,51,41,49.6,50.4,Semester 1,Introduction to Programming,Stable
KGL1137,Engineering,2.41,70,56,62.3,59.8,Semester 2,Data Structures,Stable
KGL1138,Engineering,2.56,59,67,68.1,61.5,Semester 1,Introduction to Programming,Under Review
KGL1139,Engineering,2.68,71,69,66.1,63.0,Semester 2,Web Development,Stable
KGL1140,Engineering,2.92,76,71,78.6,69.7,Semester 1,Mathematics & Statistics,Under Review
KGL1141,Engineering,2.47,59,64,59.3,61.9,Semester 2,Machine Learning,Scholarship
KGL1142,Engineering,2.01,42,54,48.4,61.6,Semester 1,Introduction to Programming,Stable
KGL1143,Engineering,1.96,57,47,51.8,43.3,Semester 2,Data Structures,Stable
KGL1144,Engineering,3.19,88,78,83.2,63.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1145,Engineering,1.25,22,33,40.0,35.0,Semester 2,Web Development,Stable
KGL1146,Engineering,3.29,88,75,84.5,79.0,Semester 1,Mathematics & Statistics,Stable
KGL1147,Engineering,2.76,73,66,65.9,71.2,Semester 2,Data Structures,Stable
KGL1148,Engineering,2.99,68,81,68.7,74.3,Semester 1,Database Systems,Stable
KGL1149,Engineering,3.91,100,93,100.0,100.0,Semester 2,Data Structures,Stable
KGL1150,Engineering,2.64,62,69,67.6,66.6,Semester 1,Database Systems,Stable
KGL1151,Engineering,2.83,77,68,67.0,66.1,Semester 2,Machine Learning,Stable
KGL1152,Engineering,2.6,59,66,67.3,72.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1153,Engineering,2.0,54,47,46.2,57.6,Semester 2,Machine Learning,Scholarship
KGL1154,Engineering,2.53,62,61,65.9,61.0,Semester 1,Mathematics & Statistics,Stable
KGL1155,Engineering,3.29,70,88,82.9,86.4,Semester 2,Web Development,Stable
KGL1156,Engineering,2.91,66,78,73.2,72.7,Semester 1,Mathematics & Statistics,Stable
KGL1157,Engineering,2.4,60,60,64.1,63.3,Semester 2,Data Structures,Stable
KGL1158,Engineering,3.12,61,87,74.6,79.7,Semester 1,Database Systems,Under Review
KGL1159,Engineering,2.56,66,64,64.4,53.0,Semester 2,Web Development,Stable
KGL1160,Engineering,3.12,82,74,84.0,82.8,Semester 1,Mathematics & Statistics,Under Review
KGL1161,Engineering,3.31,75,85,87.5,85.1,Semester 2,Web Development,Scholarship
KGL1162,Engineering,2.05,49,52,47.9,56.1,Semester 1,Mathematics & Statistics,Stable
KGL1163,Engineering,2.05,52,49,57.2,55.5,Semester 2,Web Development,Stable
KGL1164,Engineering,3.52,81,91,85.5,87.6,Semester 1,Mathematics & Statistics,Stable
KGL1165,Engineering,3.95,96,100,96.4,96.7,Semester 2,Data Structures,Stable
KGL1166,Engineering,2.07,53,51,46.0,40.7,Semester 1,Mathematics & Statistics,Stable
KGL1167,Engineering,2.83,58,78,68.8,70.9,Semester 2,Machine Learning,Under Review
KGL1168,Engineering,3.05,68,78,79.4,77.7,Semester 1,Mathematics & Statistics,Stable
KGL1169,Engineering,2.83,67,70,64.1,76.2,Semester 2,Machine Learning,Stable
KGL1170,Engineering,2.92,72,74,70.5,76.5,Semester 1,Introduction to Programming,Stable
KGL1171,Engineering,3.47,94,78,86.7,85.6,Semester 2,Machine Learning,Stable
KGL1172,Engineering,3.28,79,81,81.4,89.1,Semester 1,Introduction to Programming,Stable
KGL1173,Engineering,2.67,63,70,58.6,71.5,Semester 2,Machine Learning,Scholarship
KGL1174,Engineering,1.97,43,54,49.8,49.3,Semester 1,Introduction to Programming,Stable
KGL1175,Engineering,3.45,81,87,88.4,97.3,Semester 2,Machine Learning,Stable
KGL1176,Engineering,2.11,46,58,48.9,43.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1177,Engineering,3.0,71,77,77.9,79.6,Semester 2,Web Development,Scholarship
KGL1178,Engineering,2.45,52,62,59.6,79.3,Semester 1,Database Systems,Stable
KGL1179,Engineering,3.96,97,100,98.7,93.6,Semester 2,Data Structures,Stable
KGL1180,Engineering,2.73,62,75,75.2,72.5,Semester 1,Database Systems,Stable
KGL1181,Engineering,2.35,46,66,66.8,66.0,Semester 2,Data Structures,Stable
KGL1182,Engineering,1.96,50,47,40.9,59.7,Semester 1,Introduction to Programming,Scholarship
KGL1183,Engineering,2.72,65,70,67.9,74.5,Semester 2,Data Structures,Scholarship
KGL1184,Engineering,1.95,45,49,40.0,51.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1185,Engineering,2.63,65,65,73.6,69.8,Semester 2,Web Development,Stable
KGL1186,Engineering,2.95,80,65,75.6,77.5,Semester 1,Mathematics & Statistics,Stable
KGL1187,Engineering,2.61,62,68,60.9,62.9,Semester 2,Web Development,Stable
KGL1188,Engineering,1.93,48,45,56.3,47.0,Semester 1,Database Systems,Stable
KGL1189,Engineering,3.36,77,87,81.4,87.2,Semester 2,Machine Learning,Scholarship
KGL1190,Engineering,2.67,66,69,68.0,66.3,Semester 1,Introduction to Programming,Stable
KGL1191,Engineering,3.17,76,79,80.9,87.7,Semester 2,Web Development,Stable
KGL1192,Engineering,2.56,62,66,69.5,64.0,Semester 1,Introduction to Programming,Under Review
KGL1193,Engineering,2.68,77,62,69.8,71.0,Semester 2,Machine Learning,Stable
KGL1194,Engineering,3.17,69,85,76.4,89.1,Semester 1,Mathematics & Statistics,Stable
KGL1195,Engineering,2.24,61,52,58.6,66.7,Semester 2,Machine Learning,Stable
KGL1196,Engineering,2.57,59,65,64.9,69.8,Semester 1,Database Systems,Stable
KGL1197,Engineering,2.16,55,51,48.5,62.6,Semester 2,Web Development,Under Review
KGL1198,Engineering,2.04,45,55,61.7,62.1,Semester 1,Database Systems,Stable
KGL1199,Engineering,3.11,78,76,75.0,66.6,Semester 2,Web Development,Stable
KGL1200,Engineering,3.16,67,86,81.0,92.5,Semester 1,Mathematics & Statistics,Under Review
KGL1201,Engineering,2.97,65,77,80.5,80.4,Semester 2,Web Development,Stable
KGL1202,Engineering,2.87,69,69,73.4,71.8,Semester 1,Database Systems,Stable
KGL1203,Engineering,2.59,57,68,67.9,67.2,Semester 2,Data Structures,Stable
KGL1204,Engineering,1.89,59,42,45.1,35.5,Semester 1,Database Systems,Scholarship
KGL1205,Engineering,2.97,74,78,71.8,69.2,Semester 2,Machine Learning,Stable
KGL1206,Engineering,2.75,82,62,68.8,58.0,Semester 1,Database Systems,Stable
KGL1207,Engineering,3.16,81,76,75.6,81.2,Semester 2,Machine Learning,Scholarship
KGL1208,Engineering,3.08,74,76,75.0,83.5,Semester 1,Database Systems,Stable
KGL1209,Engineering,2.47,58,66,64.5,58.4,Semester 2,Data Structures,Scholarship
KGL1210,Engineering,3.17,80,79,81.6,76.0,Semester 1,Introduction to Programming,Stable
KGL1211,Engineering,1.2,35,27,40.0,30.0,Semester 2,Web Development,Scholarship
KGL1212,Engineering,2.19,42,60,49.8,57.8,Semester 1,Introduction to Programming,Under Review
KGL1213,Engineering,2.23,60,56,53.8,55.9,Semester 2,Web Development,Stable
KGL1214,Engineering,3.45,87,81,91.4,83.0,Semester 1,Mathematics & Statistics,Stable
KGL1215,Engineering,3.23,84,75,82.7,80.8,Semester 2,Machine Learning,Scholarship
KGL1216,Engineering,3.43,83,88,87.3,93.6,Semester 1,Database Systems,Under Review
KGL1217,Engineering,1.53,34,39,42.6,38.9,Semester 2,Machine Learning,Stable
KGL1218,Engineering,2.84,66,70,61.3,78.4,Semester 1,Database Systems,Stable
KGL1219,Engineering,2.31,61,56,60.5,59.5,Semester 2,Data Structures,Scholarship
KGL1220,Engineering,2.64,56,74,66.7,66.4,Semester 1,Introduction to Programming,Stable
KGL1221,Engineering,3.27,87,73,80.9,86.3,Semester 2,Data Structures,Stable
KGL1222,Engineering,2.43,55,62,58.6,58.6,Semester 1,Database Systems,Stable
KGL1223,Engineering,3.21,86,75,75.8,81.8,Semester 2,Machine Learning,Stable
KGL1224,Engineering,2.55,52,73,65.6,53.8,Semester 1,Mathematics & Statistics,Stable
KGL1225,Engineering,2.07,45,54,55.9,49.6,Semester 2,Machine Learning,Stable
KGL1226,Engineering,2.87,72,71,80.5,70.1,Semester 1,Database Systems,Scholarship
KGL1227,Engineering,2.15,57,54,57.8,52.0,Semester 2,Web Development,Stable
KGL1228,Engineering,2.72,68,64,66.2,67.1,Semester 1,Introduction to Programming,Stable
KGL1229,Engineering,3.69,88,94,97.9,97.7,Semester 2,Web Development,Stable
KGL1230,Engineering,2.75,76,66,68.3,58.5,Semester 1,Database Systems,Stable
KGL1231,Engineering,1.75,46,42,44.9,43.5,Semester 2,Web Development,Stable
KGL1232,Engineering,3.15,67,83,76.4,86.8,Semester 1,Introduction to Programming,Stable
KGL1233,Engineering,3.43,92,78,86.5,90.8,Semester 2,Web Development,Stable
KGL1234,Engineering,3.32,83,84,83.0,82.4,Semester 1,Mathematics & Statistics,Scholarship
KGL1235,Engineering,3.09,80,77,71.5,77.0,Semester 2,Machine Learning,Under Review
KGL1236,Engineering,2.61,63,67,66.0,71.1,Semester 1,Introduction to Programming,Stable
KGL1237,Engineering,2.64,64,74,63.5,56.9,Semester 2,Machine Learning,Stable
KGL1238,Engineering,2.09,54,51,56.8,48.7,Semester 1,Database Systems,Stable
KGL1239,Engineering,3.25,84,80,74.9,82.6,Semester 2,Machine Learning,Stable
KGL1240,Engineering,2.76,73,66,63.3,65.2,Semester 1,Introduction to Programming,Stable
KGL1241,Engineering,3.28,80,83,79.5,81.0,Semester 2,Web Development,Stable
KGL1242,Engineering,2.17,56,55,54.5,61.3,Semester 1,Introduction to Programming,Stable
KGL1243,Engineering,2.04,59,43,52.1,55.8,Semester 2,Machine Learning,Scholarship
KGL1244,Engineering,2.91,75,69,68.1,69.2,Semester 1,Mathematics & Statistics,Stable
KGL1245,Engineering,3.09,85,71,68.4,70.9,Semester 2,Web Development,Stable
KGL1246,Engineering,3.19,89,74,73.8,76.9,Semester 1,Mathematics & Statistics,Stable
KGL1247,Engineering,2.61,58,68,59.5,71.4,Semester 2,Web Development,Under Review
KGL1248,Engineering,2.55,65,62,65.9,65.6,Semester 1,Introduction to Programming,Stable
KGL1249,Engineering,2.41,68,53,63.4,53.7,Semester 2,Web Development,Scholarship
KGL1250,Engineering,1.93,47,49,51.3,57.5,Semester 1,Introduction to Programming,Scholarship
KGL1251,Engineering,3.16,71,83,71.1,84.8,Semester 2,Machine Learning,Stable
KGL1252,Engineering,2.67,60,70,63.8,76.0,Semester 1,Introduction to Programming,Stable
KGL1253,Engineering,3.09,80,72,82.9,83.0,Semester 2,Web Development,Stable
KGL1254,Engineering,2.11,54,52,65.8,53.4,Semester 1,Mathematics & Statistics,Under Review
KGL1255,Engineering,2.73,62,70,73.3,68.0,Semester 2,Web Development,Scholarship
KGL1256,Engineering,2.73,64,68,69.1,70.1,Semester 1,Mathematics & Statistics,Scholarship
KGL1257,Engineering,3.09,78,77,84.5,78.0,Semester 2,Web Development,Stable
KGL1258,Engineering,2.97,70,78,80.3,69.1,Semester 1,Introduction to Programming,Under Review
KGL1259,Engineering,3.03,65,81,73.3,81.1,Semester 2,Web Development,Stable
KGL1260,Engineering,2.93,64,77,71.7,71.8,Semester 1,Mathematics & Statistics,Stable
KGL1261,Engineering,3.15,79,78,75.8,80.7,Semester 2,Data Structures,Stable
KGL1262,Engineering,1.93,44,51,51.3,49.3,Semester 1,Introduction to Programming,Stable
KGL1263,Engineering,3.76,99,90,97.8,95.8,Semester 2,Machine Learning,Stable
KGL1264,Engineering,2.89,76,68,86.5,69.5,Semester 1,Mathematics & Statistics,Stable
KGL1265,Engineering,1.89,59,41,49.6,42.1,Semester 2,Machine Learning,Stable
KGL1266,Engineering,2.92,63,81,70.6,73.1,Semester 1,Introduction to Programming,Scholarship
KGL1267,Engineering,2.91,69,77,73.9,70.2,Semester 2,Data Structures,Stable
KGL1268,Engineering,3.67,88,95,90.9,97.4,Semester 1,Database Systems,Scholarship
KGL1269,Engineering,2.89,71,70,69.1,79.4,Semester 2,Machine Learning,Stable
KGL1270,Engineering,2.57,69,61,62.4,64.1,Semester 1,Mathematics & Statistics,Under Review
KGL1271,Engineering,1.99,58,42,50.4,42.7,Semester 2,Web Development,Scholarship
KGL1272,Engineering,2.11,47,58,62.5,54.8,Semester 1,Mathematics & Statistics,Scholarship
KGL1273,Engineering,2.75,65,71,72.2,62.0,Semester 2,Data Structures,Scholarship
KGL1274,Engineering,3.32,88,76,76.6,90.2,Semester 1,Introduction to Programming,Stable
KGL1275,Engineering,3.12,83,73,79.5,71.0,Semester 2,Data Structures,Under Review
KGL1276,Engineering,3.6,85,93,94.8,100.0,Semester 1,Mathematics & Statistics,Stable
KGL1277,Engineering,2.63,59,75,59.1,63.3,Semester 2,Web Development,Scholarship
KGL1278,Engineering,3.08,65,80,81.1,86.5,Semester 1,Introduction to Programming,Stable
KGL1279,Engineering,2.48,73,57,66.6,52.5,Semester 2,Web Development,Stable
KGL1280,Engineering,1.96,53,42,40.0,58.2,Semester 1,Introduction to Programming,Under Review
KGL1281,Engineering,1.85,45,46,53.4,51.1,Semester 2,Web Development,Scholarship
KGL1282,Engineering,3.15,73,84,74.7,77.6,Semester 1,Database Systems,Stable
KGL1283,Engineering,3.01,70,78,77.1,81.7,Semester 2,Machine Learning,Under Review
KGL1284,Engineering,1.72,37,46,42.2,45.8,Semester 1,Mathematics & Statistics,Stable
KGL1285,Engineering,3.27,81,82,73.1,77.6,Semester 2,Machine Learning,Stable
KGL1286,Engineering,3.56,97,88,84.6,82.6,Semester 1,Introduction to Programming,Stable
KGL1287,Engineering,3.17,67,82,83.0,93.5,Semester 2,Machine Learning,Stable
KGL1288,Engineering,3.19,88,76,86.4,77.2,Semester 1,Introduction to Programming,Stable
KGL1289,Engineering,3.07,77,77,77.6,80.9,Semester 2,Machine Learning,Stable
KGL1290,Engineering,2.85,76,68,70.4,68.7,Semester 1,Introduction to Programming,Stable
KGL1291,Engineering,3.05,86,70,76.1,75.8,Semester 2,Web Development,Stable
KGL1292,Engineering,2.4,63,57,61.7,59.2,Semester 1,Mathematics & Statistics,Stable
KGL1293,Engineering,2.84,65,75,67.6,71.4,Semester 2,Data Structures,Stable
KGL1294,Engineering,3.13,78,80,77.8,81.8,Semester 1,Database Systems,Scholarship
KGL1295,Engineering,2.52,67,60,66.1,59.4,Semester 2,Machine Learning,Scholarship
KGL1296,Engineering,1.73,46,43,44.6,46.5,Semester 1,Introduction to Programming,Stable
KGL1297,Engineering,2.84,71,68,74.0,79.5,Semester 2,Machine Learning,Stable
KGL1298,Engineering,1.81,40,50,41.1,43.8,Semester 1,Introduction to Programming,Stable
KGL1299,Engineering,3.36,90,75,78.6,89.1,Semester 2,Machine Learning,Stable
KGL1300,Engineering,3.2,81,81,86.6,82.8,Semester 1,Database Systems,Stable
KGL1301,Engineering,2.16,56,52,52.3,54.8,Semester 2,Machine Learning,Stable
KGL1302,Engineering,3.09,67,81,73.3,78.4,Semester 1,Database Systems,Scholarship
KGL1303,Engineering,2.93,80,64,68.2,77.6,Semester 2,Data Structures,Scholarship
KGL1304,Engineering,3.09,74,83,74.3,68.9,Semester 1,Introduction to Programming,Scholarship
KGL1305,Engineering,2.73,69,69,58.3,64.4,Semester 2,Data Structures,Scholarship
KGL1306,Engineering,3.56,99,81,92.8,90.6,Semester 1,Mathematics & Statistics,Stable
KGL1307,Engineering,1.96,51,44,48.9,53.9,Semester 2,Data Structures,Under Review
KGL1308,Engineering,2.55,53,67,55.4,63.7,Semester 1,Database Systems,Stable
